Company Name,Market Cap (₹ Cr),Price (₹),P/E Ratio,Financial Metric,Jun-25,Mar-26,Jun-26,YOY Growth (%),Extraction Date,Extraction Time
Lexoraa Ind,6.52,16.6,,Sales,1.54,10.3,11.1,623,7/28/2026,0:03:01
Monolithisch Ind,1784,821,62,EBIDT,6.59,11.4,13.1,99,7/28/2026,0:03:01
Monolithisch Ind,1784,821,62,EPS,1.97,3.73,4.63,135,7/28/2026,0:03:01
Monolithisch Ind,1784,821,62,Net profit,4.29,8.11,10.1,135,7/28/2026,0:03:01
Monolithisch Ind,1784,821,62,Sales,28.8,40.6,47.2,64,7/28/2026,0:03:01
NESCO,7110,1008,17.1,EBIDT,110,118,102,-7,7/28/2026,0:03:01
NESCO,7110,1008,17.1,EPS,13.64,13.21,14.19,4,7/28/2026,0:03:01
NESCO,7110,1008,17.1,Net profit,96.1,93,100,4,7/28/2026,0:03:01
NESCO,7110,1008,17.1,Sales,193,252,212,10,7/28/2026,0:03:01
SBFC Finance,10013,90.4,20.9,EBIDT,266,316,331,25,7/28/2026,0:03:01
SBFC Finance,10013,90.4,20.9,EPS,0.93,1.11,1.18,27,7/28/2026,0:03:01
SBFC Finance,10013,90.4,20.9,Net profit,101,123,130,29,7/28/2026,0:03:01
SBFC Finance,10013,90.4,20.9,Sales,388,454,491,27,7/28/2026,0:03:01
SMC Global Sec.,1597,76.3,14.7,EBIDT,100,89.7,107,7,7/28/2026,0:03:01
SMC Global Sec.,1597,76.3,14.7,EPS,1.42,1.01,1.75,23,7/28/2026,0:03:01
SMC Global Sec.,1597,76.3,14.7,Net profit,30,21.5,36.7,23,7/28/2026,0:03:01
SMC Global Sec.,1597,76.3,14.7,Sales,425,517,515,21,7/28/2026,0:03:01
Sacheta Metals,48,3.84,24,EBIDT,1.3,0.38,1.07,-18,7/28/2026,0:03:01
Sacheta Metals,48,3.84,24,EPS,0.03,0.03,0.03,0,7/28/2026,0:03:01
Sacheta Metals,48,3.84,24,Net profit,0.4,0.36,0.37,-8,7/28/2026,0:03:01
Sacheta Metals,48,3.84,24,Sales,21,20.4,21.8,4,7/28/2026,0:03:01
Sea TV Network,3.17,2.63,,EBIDT,-0.87,-0.8,-0.3,66,7/28/2026,0:03:01
Sea TV Network,3.17,2.63,,EPS,0.18,0.12,-0.37,-306,7/28/2026,0:03:01
Sea TV Network,3.17,2.63,,Net profit,0.22,0.14,-0.44,-300,7/28/2026,0:03:01
Sea TV Network,3.17,2.63,,Sales,1.88,2.79,2.41,28,7/28/2026,0:03:01
Seshasayee Paper,1491,237,15.1,EBIDT,20.5,23.6,43.6,113,7/28/2026,0:03:01
Seshasayee Paper,1491,237,15.1,EPS,2.45,4.13,5.06,107,7/28/2026,0:03:01
Seshasayee Paper,1491,237,15.1,Net profit,15.4,26,31.9,107,7/28/2026,0:03:01
Seshasayee Paper,1491,237,15.1,Sales,385,592,492,28,7/28/2026,0:03:01
Suryalata Spg.,176,422,4.9,EBIDT,12.5,17.8,13.7,10,7/28/2026,0:03:01
Suryalata Spg.,176,422,4.9,EPS,13.69,25.33,13.83,1,7/28/2026,0:03:01
Suryalata Spg.,176,422,4.9,Net profit,5.84,10.8,5.9,1,7/28/2026,0:03:01
Suryalata Spg.,176,422,4.9,Sales,126,105,124,-2,7/28/2026,0:03:01
Vedant Fashions,9942,410,25.8,EBIDT,121,179,131,9,7/28/2026,0:03:01
Vedant Fashions,9942,410,25.8,EPS,2.89,4.7,3.32,15,7/28/2026,0:03:01
Vedant Fashions,9942,410,25.8,Net profit,70.3,114,80.6,15,7/28/2026,0:03:01
Vedant Fashions,9942,410,25.8,Sales,281,399,301,7,7/28/2026,0:03:01
Veronica Product,2.28,0.32,,EBIDT,0.07,-0.11,-0.05,-171,7/28/2026,0:03:01
Veronica Product,2.28,0.32,,EPS,0.01,-0.02,-0.01,-200,7/28/2026,0:03:01
Veronica Product,2.28,0.32,,Net profit,0.05,-0.11,-0.05,-200,7/28/2026,0:03:01
Veronica Product,2.28,0.32,,Sales,1.67,0,0.3,-82,7/28/2026,0:03:01
Zen Technologies,15236,1688,83.9,EBIDT,64.2,49.6,38.4,-40,7/28/2026,0:03:01
Zen Technologies,15236,1688,83.9,EPS,5.29,3.49,3.82,-28,7/28/2026,0:03:01
Zen Technologies,15236,1688,83.9,Net profit,53.1,47.2,31.8,-23,7/28/2026,0:03:01
Zen Technologies,15236,1688,83.9,Sales,158,178,142,-10,7/28/2026,0:03:01
